"","X","shortnam","avexpr","logem4","lat_abst","euro1900","logpgp95","GDP2018","GovEff"
"73",73,"ISR",8.54545497894287,NA,0.347777783870697,0,9.78414058685303,40261.3380291629,86.05769
"74",74,"ITA",9.45454502105713,NA,0.472222208976746,100,9.89797210693359,42798.0987227977,68.26923
"75",75,"JAM",7.09090900421143,4.86753463745117,0.201666668057442,1.89999997615814,8.18868923187256,9975.19407899509,70.67308
"76",76,"JOR",6.77272748947144,NA,0.344444453716278,0,8.17188167572021,10093.9640130726,57.21154
"77",77,"JPN",9.72727298736572,NA,0.400000005960464,0,10.0340766906738,41473.3119526181,94.23077
"78",78,"KAZ",NA,NA,0.533333361148834,NA,8.13153076171875,26172.3519855472,54.32692
"79",79,"KEN",6.04545450210571,4.97673368453979,0.0111111113801599,0,7.05617523193359,4294.93678905115,38.94231
"80",80,"KGZ",NA,NA,0.455555558204651,NA,7.57558488845825,5245.12271565952,28.84615
"81",81,"KOR",8.6363639831543,4.77068471908569,0.411111116409302,0,9.41572761535645,39660.9160925081,84.13461
"82",82,"KWT",7.04545450210571,NA,0.3255555331707,0,9.80366706848145,51708.2747574427,49.51923
"83",83,"LAO",NA,4.94164228439331,0.200000002980232,0,7.09007692337036,7777.77713753486,24.51923
"84",84,"LBR",3.63636374473572,6.18001651763916,0.0700000002980232,0,NA,1533.47076619256,8.653846
"85",85,"LBY",5.27272748947144,NA,0.277777791023254,0,NA,14423.3431920793,1.923077
"86",86,"LKA",6.04545450210571,4.24563407897949,0.0777777805924416,0,7.73193073272705,13254.6564275764,45.19231
"87",87,"LSO",NA,NA,0.3255555331707,0,7.30653142929077,3068.17291482804,18.26923
"88",88,"LTU",NA,NA,0.622222244739532,100,8.2374792098999,35831.8628150858,80.76923
"89",89,"LUX",10,NA,0.549444437026978,100,10.2887496948242,116786.479974329,95.67308
"90",90,"LVA",NA,NA,0.633333325386047,100,8.15478801727295,30744.7810562715,79.80769
"91",91,"MAR",7.09090900421143,4.35926961898804,0.355555564165115,1,8.04237842559814,8611.70983312611,46.63462
"92",92,"MDA",NA,NA,0.522222220897675,100,7.37775897979736,12564.8940000924,35.57692
"93",93,"MDG",4.45454549789429,6.28420877456665,0.222222223877907,0,6.8351845741272,1652.39913939426,11.05769
